Trial,Marker,Coordinate,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7
2,20,Z,"Mean: 4.36, Std: 0.28, Max: 4.88, Min: 3.61, Range: 1.27","Mean: 4.56, Std: 0.12, Max: 4.83, Min: 4.21, Range: 0.62","Mean: 5.16, Std: 0.31, Max: 5.81, Min: 4.31, Range: 1.50","Mean: 6.11, Std: 0.23, Max: 6.61, Min: 5.37, Range: 1.24","Mean: 5.43, Std: 0.19, Max: 5.87, Min: 4.97, Range: 0.90","Mean: 5.63, Std: 0.67, Max: 7.27, Min: 4.68, Range: 2.60","Mean: 5.99, Std: 0.58, Max: 9.03, Min: 5.02, Range: 4.01"
2,21,X,"Mean: 50.56, Std: 0.61, Max: 51.92, Min: 49.60, Range: 2.32","Mean: 51.33, Std: 0.10, Max: 51.64, Min: 51.06, Range: 0.59","Mean: 51.57, Std: 0.11, Max: 51.76, Min: 51.25, Range: 0.50","Mean: 51.96, Std: 0.08, Max: 52.21, Min: 51.73, Range: 0.48","Mean: 51.81, Std: 0.19, Max: 52.05, Min: 51.40, Range: 0.65","Mean: 51.79, Std: 0.93, Max: 53.50, Min: 50.51, Range: 2.99","Mean: 51.77, Std: 0.58, Max: 54.09, Min: 50.71, Range: 3.38"
2,21,Y,"Mean: 44.64, Std: 0.51, Max: 45.82, Min: 43.68, Range: 2.14","Mean: 44.57, Std: 0.10, Max: 44.82, Min: 44.36, Range: 0.47","Mean: 44.88, Std: 0.10, Max: 45.05, Min: 44.58, Range: 0.47","Mean: 45.34, Std: 0.16, Max: 45.78, Min: 45.00, Range: 0.78","Mean: 45.26, Std: 0.12, Max: 45.52, Min: 44.96, Range: 0.56","Mean: 45.28, Std: 0.80, Max: 46.72, Min: 44.07, Range: 2.65","Mean: 45.44, Std: 0.58, Max: 47.43, Min: 44.43, Range: 2.99"
2,21,Z,"Mean: -4.18, Std: 0.06, Max: -4.08, Min: -4.35, Range: 0.27","Mean: -4.38, Std: 0.01, Max: -4.35, Min: -4.43, Range: 0.08","Mean: -4.38, Std: 0.02, Max: -4.34, Min: -4.41, Range: 0.07","Mean: -4.39, Std: 0.02, Max: -4.35, Min: -4.45, Range: 0.10","Mean: -4.37, Std: 0.03, Max: -4.29, Min: -4.42, Range: 0.13","Mean: -4.36, Std: 0.08, Max: -4.23, Min: -4.52, Range: 0.30","Mean: -4.33, Std: 0.05, Max: -4.21, Min: -4.55, Range: 0.33"
2,22,X,"Mean: 35.55, Std: 0.12, Max: 35.75, Min: 35.32, Range: 0.43","Mean: 35.18, Std: 0.12, Max: 35.45, Min: 34.92, Range: 0.53","Mean: 35.38, Std: 0.08, Max: 35.55, Min: 35.20, Range: 0.35","Mean: 35.13, Std: 0.09, Max: 35.39, Min: 34.89, Range: 0.50","Mean: 35.75, Std: 0.14, Max: 36.22, Min: 35.55, Range: 0.67","Mean: 35.34, Std: 0.33, Max: 35.94, Min: 34.60, Range: 1.34","Mean: 35.27, Std: 0.12, Max: 35.60, Min: 34.90, Range: 0.71"
2,22,Y,"Mean: -23.13, Std: 0.21, Max: -22.50, Min: -23.52, Range: 1.02","Mean: -21.79, Std: 0.09, Max: -21.56, Min: -21.97, Range: 0.40","Mean: -22.07, Std: 0.11, Max: -21.86, Min: -22.34, Range: 0.48","Mean: -22.10, Std: 0.18, Max: -21.68, Min: -22.49, Range: 0.81","Mean: -22.56, Std: 0.15, Max: -22.23, Min: -22.95, Range: 0.72","Mean: -22.36, Std: 0.27, Max: -21.78, Min: -22.96, Range: 1.17","Mean: -22.58, Std: 0.26, Max: -22.14, Min: -23.37, Range: 1.23"
2,22,Z,"Mean: -12.48, Std: 0.05, Max: -12.33, Min: -12.58, Range: 0.25","Mean: -12.15, Std: 0.04, Max: -12.06, Min: -12.22, Range: 0.16","Mean: -12.25, Std: 0.03, Max: -12.20, Min: -12.33, Range: 0.13","Mean: -12.20, Std: 0.04, Max: -12.10, Min: -12.28, Range: 0.17","Mean: -12.42, Std: 0.05, Max: -12.34, Min: -12.58, Range: 0.24","Mean: -12.29, Std: 0.12, Max: -12.02, Min: -12.54, Range: 0.52","Mean: -12.31, Std: 0.06, Max: -12.17, Min: -12.51, Range: 0.34"
2,23,X,"Mean: 0.78, Std: 0.51, Max: 1.58, Min: -0.42, Range: 2.00","Mean: 0.38, Std: 0.20, Max: 0.85, Min: -0.16, Range: 1.01","Mean: -0.06, Std: 0.13, Max: 0.22, Min: -0.33, Range: 0.55","Mean: -0.19, Std: 0.10, Max: 0.01, Min: -0.48, Range: 0.49","Mean: -0.66, Std: 0.17, Max: -0.24, Min: -1.07, Range: 0.83","Mean: -0.23, Std: 0.63, Max: 0.76, Min: -1.24, Range: 2.00","Mean: -0.14, Std: 0.49, Max: 0.75, Min: -2.13, Range: 2.88"
2,23,Y,"Mean: 1.89, Std: 0.61, Max: 2.84, Min: 0.48, Range: 2.36","Mean: 0.63, Std: 0.07, Max: 0.82, Min: 0.39, Range: 0.43","Mean: 0.60, Std: 0.11, Max: 0.95, Min: 0.40, Range: 0.55","Mean: 0.17, Std: 0.09, Max: 0.50, Min: -0.05, Range: 0.55","Mean: 0.70, Std: 0.24, Max: 1.19, Min: 0.35, Range: 0.85","Mean: 0.49, Std: 1.01, Max: 1.96, Min: -1.49, Range: 3.45","Mean: 0.55, Std: 0.55, Max: 1.59, Min: -1.72, Range: 3.30"
2,23,Z,"Mean: 0.15, Std: 0.03, Max: 0.23, Min: 0.08, Range: 0.15","Mean: 0.02, Std: 0.05, Max: 0.12, Min: -0.08, Range: 0.20","Mean: 0.12, Std: 0.03, Max: 0.19, Min: 0.06, Range: 0.13","Mean: 0.08, Std: 0.03, Max: 0.15, Min: -0.00, Range: 0.15","Mean: 0.28, Std: 0.04, Max: 0.43, Min: 0.21, Range: 0.22","Mean: 0.14, Std: 0.05, Max: 0.26, Min: 0.02, Range: 0.24","Mean: 0.13, Std: 0.04, Max: 0.22, Min: 0.06, Range: 0.15"
