Trial,Marker,Coordinate,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7
3,20,Z,"Mean: 4.12, Std: 0.19, Max: 4.64, Min: 3.61, Range: 1.04","Mean: 4.39, Std: 0.16, Max: 4.89, Min: 4.04, Range: 0.85","Mean: 5.32, Std: 0.24, Max: 5.97, Min: 4.75, Range: 1.22","Mean: 6.30, Std: 0.11, Max: 6.60, Min: 5.98, Range: 0.62","Mean: 4.63, Std: 0.15, Max: 4.98, Min: 4.32, Range: 0.66","Mean: 5.63, Std: 0.67, Max: 7.27, Min: 4.68, Range: 2.60","Mean: 5.24, Std: 0.51, Max: 7.35, Min: 4.24, Range: 3.10"
3,21,X,"Mean: 50.89, Std: 0.59, Max: 52.16, Min: 49.86, Range: 2.31","Mean: 51.67, Std: 0.09, Max: 51.81, Min: 51.43, Range: 0.38","Mean: 51.82, Std: 0.18, Max: 52.08, Min: 51.31, Range: 0.76","Mean: 51.95, Std: 0.07, Max: 52.12, Min: 51.74, Range: 0.39","Mean: 50.68, Std: 0.17, Max: 51.03, Min: 50.40, Range: 0.63","Mean: 51.79, Std: 0.93, Max: 53.50, Min: 50.51, Range: 2.99","Mean: 51.18, Std: 0.46, Max: 53.39, Min: 50.33, Range: 3.06"
3,21,Y,"Mean: 44.56, Std: 0.53, Max: 45.55, Min: 43.71, Range: 1.84","Mean: 44.71, Std: 0.06, Max: 44.84, Min: 44.53, Range: 0.31","Mean: 45.33, Std: 0.19, Max: 45.69, Min: 44.88, Range: 0.81","Mean: 45.36, Std: 0.09, Max: 45.58, Min: 45.14, Range: 0.44","Mean: 44.43, Std: 0.08, Max: 44.64, Min: 44.25, Range: 0.39","Mean: 45.28, Std: 0.80, Max: 46.72, Min: 44.07, Range: 2.65","Mean: 45.06, Std: 0.57, Max: 47.53, Min: 44.14, Range: 3.39"
3,21,Z,"Mean: -4.28, Std: 0.05, Max: -4.16, Min: -4.40, Range: 0.24","Mean: -4.43, Std: 0.01, Max: -4.38, Min: -4.46, Range: 0.08","Mean: -4.36, Std: 0.02, Max: -4.30, Min: -4.39, Range: 0.09","Mean: -4.39, Std: 0.01, Max: -4.35, Min: -4.43, Range: 0.08","Mean: -4.25, Std: 0.03, Max: -4.18, Min: -4.31, Range: 0.13","Mean: -4.36, Std: 0.08, Max: -4.23, Min: -4.52, Range: 0.30","Mean: -4.26, Std: 0.03, Max: -4.20, Min: -4.35, Range: 0.15"
3,22,X,"Mean: 35.80, Std: 0.16, Max: 36.21, Min: 35.55, Range: 0.67","Mean: 35.51, Std: 0.05, Max: 35.65, Min: 35.39, Range: 0.26","Mean: 35.19, Std: 0.14, Max: 35.53, Min: 34.94, Range: 0.59","Mean: 35.08, Std: 0.05, Max: 35.21, Min: 34.92, Range: 0.29","Mean: 35.74, Std: 0.09, Max: 35.96, Min: 35.52, Range: 0.44","Mean: 35.34, Std: 0.33, Max: 35.94, Min: 34.60, Range: 1.34","Mean: 35.38, Std: 0.27, Max: 36.04, Min: 34.54, Range: 1.50"
3,22,Y,"Mean: -22.73, Std: 0.14, Max: -22.39, Min: -23.16, Range: 0.77","Mean: -21.77, Std: 0.07, Max: -21.56, Min: -22.04, Range: 0.49","Mean: -22.31, Std: 0.11, Max: -22.05, Min: -22.58, Range: 0.53","Mean: -22.11, Std: 0.10, Max: -21.84, Min: -22.34, Range: 0.50","Mean: -22.79, Std: 0.17, Max: -22.42, Min: -23.07, Range: 0.65","Mean: -22.36, Std: 0.27, Max: -21.78, Min: -22.96, Range: 1.17","Mean: -22.84, Std: 0.22, Max: -22.37, Min: -23.56, Range: 1.19"
3,22,Z,"Mean: -12.47, Std: 0.05, Max: -12.35, Min: -12.60, Range: 0.24","Mean: -12.23, Std: 0.02, Max: -12.19, Min: -12.27, Range: 0.08","Mean: -12.25, Std: 0.04, Max: -12.16, Min: -12.36, Range: 0.19","Mean: -12.19, Std: 0.02, Max: -12.14, Min: -12.24, Range: 0.10","Mean: -12.46, Std: 0.04, Max: -12.35, Min: -12.53, Range: 0.18","Mean: -12.29, Std: 0.12, Max: -12.02, Min: -12.54, Range: 0.52","Mean: -12.39, Std: 0.07, Max: -12.23, Min: -12.58, Range: 0.35"
3,23,X,"Mean: 0.20, Std: 0.46, Max: 1.06, Min: -0.82, Range: 1.88","Mean: -0.29, Std: 0.09, Max: -0.07, Min: -0.51, Range: 0.44","Mean: -0.12, Std: 0.14, Max: 0.27, Min: -0.35, Range: 0.62","Mean: -0.13, Std: 0.08, Max: 0.09, Min: -0.39, Range: 0.48","Mean: 0.47, Std: 0.18, Max: 0.94, Min: 0.19, Range: 0.75","Mean: -0.23, Std: 0.63, Max: 0.76, Min: -1.24, Range: 2.00","Mean: 0.33, Std: 0.30, Max: 0.81, Min: -1.03, Range: 1.84"
3,23,Y,"Mean: 1.58, Std: 0.59, Max: 2.65, Min: 0.27, Range: 2.38","Mean: 0.47, Std: 0.10, Max: 0.76, Min: 0.30, Range: 0.46","Mean: 0.39, Std: 0.22, Max: 0.99, Min: 0.06, Range: 0.93","Mean: 0.16, Std: 0.08, Max: 0.42, Min: -0.05, Range: 0.48","Mean: 1.76, Std: 0.20, Max: 2.07, Min: 1.26, Range: 0.81","Mean: 0.49, Std: 1.01, Max: 1.96, Min: -1.49, Range: 3.45","Mean: 1.19, Std: 0.47, Max: 2.22, Min: -0.97, Range: 3.20"
3,23,Z,"Mean: 0.23, Std: 0.03, Max: 0.31, Min: 0.15, Range: 0.16","Mean: 0.15, Std: 0.02, Max: 0.19, Min: 0.11, Range: 0.08","Mean: 0.10, Std: 0.04, Max: 0.19, Min: 0.00, Range: 0.18","Mean: 0.06, Std: 0.02, Max: 0.11, Min: 0.02, Range: 0.10","Mean: 0.20, Std: 0.03, Max: 0.26, Min: 0.12, Range: 0.14","Mean: 0.14, Std: 0.05, Max: 0.26, Min: 0.02, Range: 0.24","Mean: 0.13, Std: 0.06, Max: 0.29, Min: 0.01, Range: 0.29"
4,1,X,"Mean: 105.09, Std: 0.89, Max: 106.75, Min: 103.48, Range: 3.27","Mean: 105.47, Std: 1.90, Max: 108.39, Min: 102.25, Range: 6.14","Mean: 98.96, Std: 0.56, Max: 101.41, Min: 97.48, Range: 3.94","Mean: 102.09, Std: 0.15, Max: 102.76, Min: 101.67, Range: 1.09","Mean: 103.62, Std: 0.28, Max: 104.18, Min: 102.93, Range: 1.24","Mean: 104.64, Std: 1.53, Max: 106.75, Min: 100.79, Range: 5.96","Mean: 103.16, Std: 2.04, Max: 108.56, Min: 98.39, Range: 10.17"
4,1,Y,"Mean: 5.69, Std: 1.08, Max: 8.41, Min: 3.42, Range: 4.99","Mean: 7.25, Std: 0.36, Max: 8.47, Min: 6.31, Range: 2.16","Mean: 5.71, Std: 0.59, Max: 7.22, Min: 4.84, Range: 2.37","Mean: 8.17, Std: 0.32, Max: 9.14, Min: 7.50, Range: 1.64","Mean: 6.53, Std: 0.24, Max: 7.30, Min: 6.09, Range: 1.21","Mean: 5.60, Std: 0.82, Max: 7.70, Min: 4.43, Range: 3.27","Mean: 7.56, Std: 1.10, Max: 9.97, Min: 4.19, Range: 5.78"
4,1,Z,"Mean: 17.33, Std: 1.41, Max: 19.99, Min: 13.95, Range: 6.04","Mean: 18.16, Std: 0.60, Max: 19.72, Min: 16.93, Range: 2.79","Mean: 24.87, Std: 0.82, Max: 26.69, Min: 22.18, Range: 4.51","Mean: 21.12, Std: 0.35, Max: 21.99, Min: 20.03, Range: 1.95","Mean: 19.57, Std: 0.56, Max: 20.99, Min: 18.40, Range: 2.59","Mean: 18.30, Std: 4.79, Max: 28.49, Min: 9.78, Range: 18.71","Mean: 22.27, Std: 1.98, Max: 27.82, Min: 17.97, Range: 9.85"
4,2,X,"Mean: 97.29, Std: 0.65, Max: 98.55, Min: 96.16, Range: 2.39","Mean: 96.67, Std: 0.58, Max: 97.75, Min: 95.71, Range: 2.04","Mean: 93.10, Std: 1.03, Max: 95.11, Min: 91.20, Range: 3.91","Mean: 93.09, Std: 0.33, Max: 93.91, Min: 92.08, Range: 1.83","Mean: 94.68, Std: 0.39, Max: 95.58, Min: 93.81, Range: 1.77","Mean: 96.10, Std: 1.43, Max: 98.76, Min: 92.97, Range: 5.79","Mean: 94.34, Std: 1.61, Max: 99.48, Min: 91.37, Range: 8.11"
4,2,Y,"Mean: -13.79, Std: 0.93, Max: -11.52, Min: -15.75, Range: 4.23","Mean: -12.05, Std: 0.29, Max: -11.54, Min: -12.64, Range: 1.10","Mean: -14.37, Std: 0.71, Max: -12.63, Min: -15.63, Range: 3.00","Mean: -11.87, Std: 0.53, Max: -11.00, Min: -12.79, Range: 1.79","Mean: -12.76, Std: 0.19, Max: -12.24, Min: -13.13, Range: 0.90","Mean: -13.57, Std: 1.20, Max: -11.22, Min: -15.72, Range: 4.50","Mean: -13.20, Std: 1.10, Max: -10.21, Min: -15.67, Range: 5.46"
4,2,Z,"Mean: 10.27, Std: 1.28, Max: 12.84, Min: 7.15, Range: 5.69","Mean: 10.99, Std: 0.39, Max: 11.99, Min: 10.05, Range: 1.93","Mean: 17.25, Std: 0.82, Max: 19.24, Min: 13.99, Range: 5.26","Mean: 13.78, Std: 0.37, Max: 14.83, Min: 12.67, Range: 2.16","Mean: 13.07, Std: 0.54, Max: 14.45, Min: 11.80, Range: 2.66","Mean: 10.97, Std: 3.86, Max: 18.37, Min: 4.40, Range: 13.97","Mean: 14.56, Std: 1.59, Max: 18.38, Min: 10.41, Range: 7.97"
4,3,X,"Mean: 88.52, Std: 0.26, Max: 89.20, Min: 87.95, Range: 1.25","Mean: 87.79, Std: 0.23, Max: 88.30, Min: 87.28, Range: 1.02","Mean: 85.09, Std: 0.52, Max: 86.23, Min: 84.02, Range: 2.21","Mean: 85.64, Std: 0.70, Max: 87.05, Min: 84.47, Range: 2.58","Mean: 85.60, Std: 0.45, Max: 86.69, Min: 84.67, Range: 2.02","Mean: 86.79, Std: 1.14, Max: 89.36, Min: 84.95, Range: 4.42","Mean: 86.46, Std: 1.27, Max: 89.51, Min: 84.07, Range: 5.43"
4,3,Y,"Mean: -26.30, Std: 0.81, Max: -24.30, Min: -28.00, Range: 3.69","Mean: -24.53, Std: 0.18, Max: -24.07, Min: -24.99, Range: 0.93","Mean: -26.29, Std: 0.22, Max: -25.71, Min: -26.75, Range: 1.04","Mean: -25.23, Std: 0.53, Max: -24.21, Min: -26.21, Range: 2.00","Mean: -26.04, Std: 0.23, Max: -25.62, Min: -26.55, Range: 0.93","Mean: -26.18, Std: 0.71, Max: -24.22, Min: -27.32, Range: 3.09","Mean: -25.54, Std: 1.34, Max: -23.49, Min: -28.69, Range: 5.20"
4,3,Z,"Mean: -2.15, Std: 0.98, Max: -0.13, Min: -4.26, Range: 4.13","Mean: -1.60, Std: 0.46, Max: -0.06, Min: -2.36, Range: 2.29","Mean: 2.96, Std: 0.52, Max: 4.27, Min: 1.32, Range: 2.95","Mean: 0.96, Std: 0.50, Max: 2.04, Min: -0.66, Range: 2.70","Mean: 1.12, Std: 0.56, Max: 2.38, Min: -0.23, Range: 2.61","Mean: -1.87, Std: 2.61, Max: 2.38, Min: -6.51, Range: 8.90","Mean: 0.07, Std: 1.32, Max: 3.23, Min: -3.85, Range: 7.08"
4,4,X,"Mean: 83.15, Std: 0.26, Max: 83.81, Min: 82.55, Range: 1.26","Mean: 83.33, Std: 0.11, Max: 83.58, Min: 83.01, Range: 0.57","Mean: 81.05, Std: 0.20, Max: 81.51, Min: 80.56, Range: 0.95","Mean: 81.22, Std: 0.30, Max: 81.76, Min: 80.50, Range: 1.26","Mean: 80.96, Std: 1.12, Max: 83.27, Min: 79.19, Range: 4.08","Mean: 82.64, Std: 0.96, Max: 84.89, Min: 81.01, Range: 3.87","Mean: 83.41, Std: 2.39, Max: 90.29, Min: 80.06, Range: 10.23"
4,4,Y,"Mean: -39.04, Std: 0.73, Max: -37.25, Min: -40.53, Range: 3.27","Mean: -34.88, Std: 0.16, Max: -34.46, Min: -35.22, Range: 0.76","Mean: -35.01, Std: 0.30, Max: -34.33, Min: -35.66, Range: 1.33","Mean: -33.94, Std: 0.52, Max: -32.46, Min: -34.99, Range: 2.53","Mean: -38.17, Std: 0.77, Max: -36.40, Min: -39.74, Range: 3.34","Mean: -36.73, Std: 1.60, Max: -33.94, Min: -39.19, Range: 5.25","Mean: -36.18, Std: 1.67, Max: -32.91, Min: -39.92, Range: 7.01"
4,4,Z,"Mean: -13.83, Std: 0.92, Max: -11.89, Min: -15.87, Range: 3.98","Mean: -14.90, Std: 0.32, Max: -13.92, Min: -15.99, Range: 2.08","Mean: -10.44, Std: 0.46, Max: -9.14, Min: -11.80, Range: 2.66","Mean: -11.96, Std: 0.49, Max: -10.92, Min: -13.73, Range: 2.81","Mean: -11.13, Std: 0.58, Max: -9.86, Min: -12.37, Range: 2.51","Mean: -15.94, Std: 1.01, Max: -14.04, Min: -18.00, Range: 3.96","Mean: -14.52, Std: 2.26, Max: -10.29, Min: -21.54, Range: 11.26"
4,5,X,"Mean: 149.18, Std: 0.82, Max: 150.64, Min: 147.57, Range: 3.07","Mean: 151.97, Std: 3.58, Max: 156.97, Min: 144.42, Range: 12.54","Mean: 140.16, Std: 1.36, Max: 145.33, Min: 137.09, Range: 8.24","Mean: 145.11, Std: 0.28, Max: 145.71, Min: 144.14, Range: 1.57","Mean: 148.97, Std: 0.40, Max: 149.86, Min: 147.91, Range: 1.95","Mean: 151.82, Std: 2.96, Max: 157.69, Min: 145.59, Range: 12.10","Mean: 149.96, Std: 1.78, Max: 153.79, Min: 142.97, Range: 10.82"
4,5,Y,"Mean: 0.35, Std: 1.87, Max: 5.58, Min: -2.83, Range: 8.42","Mean: 6.13, Std: 3.63, Max: 11.88, Min: -1.01, Range: 12.88","Mean: 1.23, Std: 1.93, Max: 7.13, Min: -1.27, Range: 8.40","Mean: 3.19, Std: 0.54, Max: 4.42, Min: 1.96, Range: 2.45","Mean: 2.38, Std: 0.32, Max: 3.01, Min: 1.53, Range: 1.47","Mean: 3.95, Std: 2.07, Max: 10.24, Min: 0.84, Range: 9.40","Mean: 7.17, Std: 3.18, Max: 16.02, Min: 0.06, Range: 15.95"
4,5,Z,"Mean: 16.94, Std: 1.93, Max: 21.27, Min: 12.73, Range: 8.54","Mean: 6.42, Std: 13.33, Max: 28.74, Min: -11.63, Range: 40.37","Mean: 37.16, Std: 2.43, Max: 40.99, Min: 28.65, Range: 12.34","Mean: 29.93, Std: 0.64, Max: 32.03, Min: 28.56, Range: 3.47","Mean: 25.01, Std: 0.95, Max: 27.25, Min: 23.09, Range: 4.17","Mean: 16.97, Std: 6.87, Max: 28.46, Min: 0.68, Range: 27.78","Mean: 17.71, Std: 10.00, Max: 38.24, Min: -11.34, Range: 49.58"
4,6,X,"Mean: 171.57, Std: 0.79, Max: 173.05, Min: 170.16, Range: 2.89","Mean: 164.63, Std: 6.87, Max: 174.10, Min: 150.95, Range: 23.16","Mean: 162.72, Std: 2.22, Max: 168.87, Min: 157.24, Range: 11.63","Mean: 168.33, Std: 0.28, Max: 169.27, Min: 167.41, Range: 1.86","Mean: 172.90, Std: 0.32, Max: 173.64, Min: 172.12, Range: 1.52","Mean: 170.52, Std: 4.51, Max: 176.89, Min: 159.86, Range: 17.03","Mean: 171.59, Std: 3.21, Max: 174.87, Min: 156.76, Range: 18.11"
4,6,Y,"Mean: -4.83, Std: 2.30, Max: 1.69, Min: -8.45, Range: 10.13","Mean: 12.09, Std: 10.61, Max: 25.96, Min: -5.57, Range: 31.53","Mean: -2.84, Std: 2.14, Max: 3.93, Min: -6.01, Range: 9.94","Mean: -0.37, Std: 0.64, Max: 1.25, Min: -1.97, Range: 3.21","Mean: 0.27, Std: 0.40, Max: 1.13, Min: -0.72, Range: 1.85","Mean: 7.57, Std: 7.12, Max: 21.11, Min: -1.69, Range: 22.80","Mean: 8.02, Std: 4.96, Max: 24.78, Min: -1.47, Range: 26.25"
4,6,Z,"Mean: 15.27, Std: 2.32, Max: 20.92, Min: 10.30, Range: 10.62","Mean: -11.03, Std: 23.59, Max: 29.92, Min: -38.59, Range: 68.50","Mean: 40.53, Std: 4.67, Max: 48.98, Min: 27.18, Range: 21.80","Mean: 30.66, Std: 0.81, Max: 33.42, Min: 29.07, Range: 4.35","Mean: 22.11, Std: 1.23, Max: 25.20, Min: 19.37, Range: 5.83","Mean: 4.24, Std: 17.16, Max: 31.75, Min: -23.94, Range: 55.69","Mean: 7.74, Std: 15.05, Max: 38.66, Min: -36.74, Range: 75.40"
4,7,X,"Mean: 191.51, Std: 0.82, Max: 193.27, Min: 189.75, Range: 3.52","Mean: 169.22, Std: 19.74, Max: 193.50, Min: 135.46, Range: 58.04","Mean: 182.21, Std: 2.93, Max: 189.10, Min: 174.65, Range: 14.45","Mean: 188.51, Std: 0.27, Max: 189.11, Min: 187.43, Range: 1.68","Mean: 193.11, Std: 0.32, Max: 193.92, Min: 192.29, Range: 1.62","Mean: 181.31, Std: 13.37, Max: 196.40, Min: 148.10, Range: 48.30","Mean: 189.12, Std: 6.67, Max: 194.78, Min: 157.91, Range: 36.87"
4,7,Y,"Mean: -8.59, Std: 2.74, Max: -0.81, Min: -12.95, Range: 12.14","Mean: 18.78, Std: 16.79, Max: 38.27, Min: -9.99, Range: 48.27","Mean: -5.96, Std: 2.29, Max: 1.07, Min: -9.87, Range: 10.94","Mean: -2.65, Std: 0.74, Max: -0.98, Min: -4.39, Range: 3.41","Mean: -0.56, Std: 0.47, Max: 0.38, Min: -1.83, Range: 2.21","Mean: 12.55, Std: 12.56, Max: 33.46, Min: -4.22, Range: 37.68","Mean: 9.79, Std: 6.75, Max: 33.90, Min: -1.76, Range: 35.66"
4,7,Z,"Mean: 14.48, Std: 2.48, Max: 20.43, Min: 8.67, Range: 11.76","Mean: -21.39, Std: 29.38, Max: 32.73, Min: -55.81, Range: 88.54","Mean: 45.23, Std: 7.06, Max: 58.57, Min: 26.63, Range: 31.94","Mean: 31.77, Std: 0.98, Max: 35.21, Min: 29.90, Range: 5.30","Mean: 19.60, Std: 1.40, Max: 23.28, Min: 16.31, Range: 6.97","Mean: -5.08, Std: 25.09, Max: 40.15, Min: -40.73, Range: 80.88","Mean: -0.17, Std: 19.11, Max: 39.56, Min: -55.66, Range: 95.22"
4,8,X,"Mean: 149.24, Std: 0.37, Max: 150.22, Min: 148.59, Range: 1.63","Mean: 148.55, Std: 0.38, Max: 149.27, Min: 147.63, Range: 1.64","Mean: 148.06, Std: 4.71, Max: 153.40, Min: 139.68, Range: 13.72","Mean: 136.75, Std: 1.31, Max: 140.72, Min: 133.57, Range: 7.15","Mean: 143.08, Std: 1.24, Max: 147.01, Min: 140.58, Range: 6.43","Mean: 149.20, Std: 3.38, Max: 156.11, Min: 143.67, Range: 12.44","Mean: 142.87, Std: 3.97, Max: 154.97, Min: 135.02, Range: 19.95"
4,8,Y,"Mean: -24.93, Std: 1.55, Max: -20.84, Min: -27.90, Range: 7.07","Mean: -23.67, Std: 0.67, Max: -22.38, Min: -25.75, Range: 3.37","Mean: -20.38, Std: 5.92, Max: -9.94, Min: -29.22, Range: 19.28","Mean: -33.61, Std: 1.18, Max: -30.90, Min: -36.68, Range: 5.79","Mean: -25.66, Std: 1.64, Max: -21.13, Min: -28.19, Range: 7.05","Mean: -27.43, Std: 4.47, Max: -15.19, Min: -34.27, Range: 19.08","Mean: -28.25, Std: 5.42, Max: -0.78, Min: -33.56, Range: 32.78"
4,8,Z,"Mean: 2.65, Std: 2.14, Max: 6.66, Min: -1.71, Range: 8.37","Mean: 3.26, Std: 1.01, Max: 5.67, Min: 0.86, Range: 4.81","Mean: 8.03, Std: 13.20, Max: 27.19, Min: -10.98, Range: 38.17","Mean: 26.68, Std: 2.01, Max: 30.78, Min: 21.01, Range: 9.77","Mean: 23.19, Std: 2.38, Max: 27.17, Min: 14.71, Range: 12.46","Mean: 6.07, Std: 5.68, Max: 15.19, Min: -8.77, Range: 23.97","Mean: 17.51, Std: 8.57, Max: 29.21, Min: -21.84, Range: 51.06"
4,9,X,"Mean: 175.83, Std: 0.31, Max: 176.54, Min: 175.16, Range: 1.38","Mean: 175.06, Std: 0.26, Max: 175.57, Min: 174.14, Range: 1.43","Mean: 166.73, Std: 4.81, Max: 174.99, Min: 155.87, Range: 19.12","Mean: 164.15, Std: 1.33, Max: 167.62, Min: 161.81, Range: 5.81","Mean: 169.20, Std: 1.43, Max: 173.79, Min: 166.21, Range: 7.58","Mean: 171.97, Std: 3.40, Max: 177.81, Min: 161.18, Range: 16.62","Mean: 169.33, Std: 3.69, Max: 177.31, Min: 158.80, Range: 18.51"
4,9,Y,"Mean: -30.27, Std: 1.94, Max: -25.04, Min: -33.67, Range: 8.64","Mean: -27.20, Std: 1.07, Max: -25.21, Min: -30.55, Range: 5.34","Mean: -14.79, Std: 16.13, Max: 6.15, Min: -38.24, Range: 44.39","Mean: -42.08, Std: 1.08, Max: -38.73, Min: -44.46, Range: 5.72","Mean: -32.62, Std: 2.19, Max: -27.10, Min: -36.46, Range: 9.36","Mean: -23.74, Std: 14.07, Max: 2.79, Min: -41.69, Range: 44.48","Mean: -34.07, Std: 10.12, Max: 15.76, Min: -43.83, Range: 59.59"
4,9,Z,"Mean: -1.39, Std: 2.90, Max: 4.41, Min: -7.77, Range: 12.18","Mean: -5.03, Std: 1.57, Max: -0.84, Min: -8.70, Range: 7.86","Mean: -4.63, Std: 25.35, Max: 33.73, Min: -36.60, Range: 70.33","Mean: 27.86, Std: 3.00, Max: 33.22, Min: 20.18, Range: 13.04","Mean: 27.83, Std: 3.54, Max: 33.21, Min: 14.35, Range: 18.86","Mean: -7.96, Std: 14.69, Max: 15.55, Min: -35.99, Range: 51.54","Mean: 15.18, Std: 14.04, Max: 33.87, Min: -48.94, Range: 82.81"
4,10,X,"Mean: 193.68, Std: 0.19, Max: 194.13, Min: 193.22, Range: 0.91","Mean: 192.44, Std: 0.20, Max: 192.85, Min: 191.65, Range: 1.20","Mean: 176.96, Std: 11.84, Max: 192.84, Min: 155.00, Range: 37.84","Mean: 181.81, Std: 1.48, Max: 185.45, Min: 178.84, Range: 6.60","Mean: 186.53, Std: 1.65, Max: 191.86, Min: 183.11, Range: 8.75","Mean: 182.49, Std: 9.91, Max: 194.70, Min: 156.85, Range: 37.85","Mean: 186.22, Std: 5.53, Max: 195.86, Min: 158.16, Range: 37.70"
4,10,Y,"Mean: -36.22, Std: 2.13, Max: -30.43, Min: -39.93, Range: 9.50","Mean: -31.86, Std: 1.41, Max: -29.42, Min: -36.18, Range: 6.77","Mean: -12.86, Std: 23.72, Max: 17.14, Min: -47.20, Range: 64.34","Mean: -49.49, Std: 1.34, Max: -45.66, Min: -51.22, Range: 5.55","Mean: -40.03, Std: 2.46, Max: -33.59, Min: -44.32, Range: 10.73","Mean: -22.08, Std: 21.47, Max: 13.27, Min: -50.29, Range: 63.56","Mean: -40.01, Std: 13.43, Max: 25.12, Min: -53.28, Range: 78.40"
4,10,Z,"Mean: -7.14, Std: 3.13, Max: -1.17, Min: -13.36, Range: 12.19","Mean: -12.14, Std: 2.02, Max: -6.06, Min: -16.36, Range: 10.30","Mean: -14.24, Std: 32.41, Max: 36.10, Min: -54.02, Range: 90.12","Mean: 26.79, Std: 4.10, Max: 34.46, Min: 16.27, Range: 18.19","Mean: 30.25, Std: 4.28, Max: 36.22, Min: 13.96, Range: 22.26","Mean: -17.39, Std: 19.58, Max: 17.24, Min: -45.56, Range: 62.80","Mean: 12.28, Std: 17.75, Max: 36.44, Min: -67.51, Range: 103.96"
4,11,X,"Mean: 133.37, Std: 0.20, Max: 133.90, Min: 132.78, Range: 1.11","Mean: 131.36, Std: 0.14, Max: 131.73, Min: 131.01, Range: 0.72","Mean: 128.98, Std: 2.07, Max: 132.57, Min: 125.70, Range: 6.86","Mean: 134.61, Std: 6.26, Max: 141.69, Min: 125.03, Range: 16.66","Mean: 128.23, Std: 1.93, Max: 133.11, Min: 125.45, Range: 7.67","Mean: 133.05, Std: 3.56, Max: 141.31, Min: 127.91, Range: 13.40","Mean: 131.67, Std: 3.31, Max: 142.37, Min: 125.83, Range: 16.54"
4,11,Y,"Mean: -41.40, Std: 1.33, Max: -38.01, Min: -43.97, Range: 5.96","Mean: -40.51, Std: 0.25, Max: -39.79, Min: -41.06, Range: 1.27","Mean: -43.55, Std: 1.33, Max: -40.16, Min: -45.54, Range: 5.37","Mean: -41.91, Std: 3.82, Max: -35.01, Min: -47.39, Range: 12.38","Mean: -46.34, Std: 1.36, Max: -42.19, Min: -48.40, Range: 6.21","Mean: -44.60, Std: 2.69, Max: -37.71, Min: -49.65, Range: 11.94","Mean: -41.64, Std: 3.38, Max: -28.35, Min: -46.63, Range: 18.28"
4,11,Z,"Mean: -6.80, Std: 1.90, Max: -2.89, Min: -10.51, Range: 7.63","Mean: -4.63, Std: 0.60, Max: -2.51, Min: -5.89, Range: 3.38","Mean: 4.07, Std: 2.45, Max: 8.11, Min: -0.89, Range: 9.00","Mean: -5.43, Std: 9.84, Max: 8.39, Min: -19.83, Range: 28.22","Mean: 8.70, Std: 1.68, Max: 12.63, Min: 4.16, Range: 8.48","Mean: -3.87, Std: 3.86, Max: 5.08, Min: -13.53, Range: 18.61","Mean: -2.63, Std: 6.26, Max: 7.32, Min: -25.57, Range: 32.89"
4,12,X,"Mean: 154.36, Std: 0.28, Max: 155.17, Min: 153.58, Range: 1.59","Mean: 151.97, Std: 0.18, Max: 152.36, Min: 151.53, Range: 0.82","Mean: 150.04, Std: 3.62, Max: 155.17, Min: 144.11, Range: 11.06","Mean: 146.13, Std: 6.59, Max: 158.23, Min: 136.04, Range: 22.19","Mean: 152.78, Std: 2.85, Max: 158.02, Min: 148.77, Range: 9.25","Mean: 154.26, Std: 3.04, Max: 159.07, Min: 147.08, Range: 11.99","Mean: 153.46, Std: 3.28, Max: 159.85, Min: 144.75, Range: 15.10"
4,12,Y,"Mean: -51.81, Std: 1.61, Max: -47.50, Min: -54.79, Range: 7.28","Mean: -51.36, Std: 0.34, Max: -50.38, Min: -52.17, Range: 1.79","Mean: -54.02, Std: 3.46, Max: -47.94, Min: -58.71, Range: 10.77","Mean: -36.18, Std: 18.38, Max: -12.78, Min: -60.40, Range: 47.62","Mean: -53.81, Std: 3.79, Max: -45.22, Min: -58.33, Range: 13.11","Mean: -45.73, Std: 11.21, Max: -22.60, Min: -60.32, Range: 37.71","Mean: -48.15, Std: 8.92, Max: -10.64, Min: -58.46, Range: 47.82"
4,12,Z,"Mean: -8.32, Std: 2.49, Max: -3.08, Min: -13.17, Range: 10.09","Mean: -5.77, Std: 0.68, Max: -3.38, Min: -7.11, Range: 3.74","Mean: 3.16, Std: 6.14, Max: 12.41, Min: -7.36, Range: 19.77","Mean: -17.07, Std: 18.94, Max: 12.66, Min: -38.60, Range: 51.26","Mean: 3.81, Std: 4.47, Max: 10.11, Min: -9.48, Range: 19.59","Mean: -15.59, Std: 10.58, Max: 0.52, Min: -38.37, Range: 38.89","Mean: -7.76, Std: 11.79, Max: 8.22, Min: -49.00, Range: 57.22"
4,13,X,"Mean: 172.81, Std: 0.38, Max: 173.90, Min: 171.79, Range: 2.11","Mean: 170.02, Std: 0.28, Max: 170.56, Min: 169.31, Range: 1.24","Mean: 167.87, Std: 4.89, Max: 174.71, Min: 159.88, Range: 14.82","Mean: 155.14, Std: 14.96, Max: 177.15, Min: 132.43, Range: 44.72","Mean: 171.78, Std: 2.91, Max: 176.85, Min: 167.36, Range: 9.49","Mean: 167.50, Std: 6.57, Max: 177.50, Min: 144.30, Range: 33.20","Mean: 171.55, Std: 5.23, Max: 179.60, Min: 146.39, Range: 33.20"
