SubjectID,Task,PeakAngle_Thumb_20_17_18_,PeakAngle_Thumb_17_18_19_,PeakAngle_Index_20_1_5_,PeakAngle_Index_1_5_6_,PeakAngle_Index_5_6_7_,PeakAngle_Middle_20_2_8_,PeakAngle_Middle_2_8_9_,PeakAngle_Middle_8_9_10_,PeakAngle_Ring_20_3_11_,PeakAngle_Ring_3_11_12_,PeakAngle_Ring_11_12_13_,PeakAngle_Little_20_4_14_,PeakAngle_Little_4_14_15_,PeakAngle_Little_14_15_16_,AvgRectEMG_APL,AvgRectEMG_FCR,AvgRectEMG_FDS,AvgRectEMG_FDP,AvgRectEMG_ED,AvgRectEMG_EI,AvgRectEMG_ECU,AvgRectEMG_ECR
3,7,146.789669889894,177.770623769825,161.397903169047,179.846178603965,174.210414679465,179.813678690284,178.846401727746,171.179284784903,175.306053845726,179.902517741098,175.212448574417,173.322639667107,179.800971892805,176.049668586384,0.456600659495752,0.509455990439284,0.475940036685689,0.546811033536308,0.515970462649938,0.563456963733373,0.462388047960791,0.532133437115831
4,1,164.985998097696,179.401570023974,179.592923468248,172.145368585843,164.841946158294,179.137865895007,172.468122054785,162.57075709524,173.319479932511,176.407086006454,169.172413735642,164.251432329226,179.13444586127,175.969235149407,0.550097795817685,0.532870175112696,0.538138662006735,0.63257491201391,0.632574912787516,0.547825539174221,0.450658324228219,0.524277674971577
4,2,161.361824176908,177.532971732261,174.184834637173,179.226307189097,179.50194441595,176.354864975774,171.405219275812,164.882145927659,168.562307142178,172.151627922858,169.328588316841,157.657197360795,171.998426013582,177.444048122601,0.543197074561605,0.532754310429776,0.537640739201504,0.629175676121192,0.629175675993343,0.535772855271625,0.438503477997728,0.526398621574018
4,3,157.176365062934,178.458422628084,178.165008021706,176.606048743979,167.364055146633,179.68565339627,172.854615429187,177.65240284836,177.921626265364,177.68079718055,174.203655222999,174.480982141036,176.670730479152,177.158547095554,0.537717327820864,0.535563263577881,0.537447360017387,0.626432975718394,0.626432974951915,0.531666718074039,0.434380156332718,0.531249679313158
4,4,155.942176924719,179.459364181829,177.853931524133,173.973449805978,163.955751808977,179.445246668574,172.820904158874,173.875913775303,179.333199755412,178.86052258125,176.150138446395,171.475623124796,175.005149020008,175.064268569862,0.548684749329721,0.538195375882052,0.55090159667516,0.64497854459228,0.644978545690364,0.535287482584389,0.456471377851677,0.535662227490239
4,5,167.086081855244,179.494860968837,177.699958730353,174.000770835553,161.285113269404,179.045943843489,170.936803756268,165.80855437879,179.589112465743,174.960420036808,177.034577475023,179.08314900044,178.878645042002,178.609701048187,0.540607419626442,0.533796836729059,0.54825264189977,0.64471500235175,0.644715002042109,0.533224431407936,0.458429886777455,0.53836963394166
4,6,163.689070317122,179.549329869387,178.493680434175,177.580615911862,178.447544719946,178.189400588511,171.265893546818,177.899655684227,178.738820256111,179.133962110179,176.293954956679,179.229849141943,177.234434110329,177.5216054662,0.555752091420711,0.542047888822671,0.552192359156307,0.640225041683986,0.640225042176424,0.538251154799357,0.45863061484655,0.538243618468695
4,7,168.042119400832,177.904351225465,177.802000090559,175.699704636458,179.598072054166,179.834448767654,172.078476154756,177.308927742185,179.696146850556,179.324831094456,174.914183422611,176.543808302732,176.674073760179,178.346921844446,0.552031471086972,0.547327769644302,0.552674989465519,0.647868131196433,0.647868131173772,0.538039995234951,0.45013228587991,0.534619877955265
5,1,139.448409570579,176.399324262205,173.514569994075,169.65975814492,179.069891462006,178.557648408976,163.904101325846,172.541915076272,172.960206482117,172.653449811894,174.567980895504,167.051943848197,177.528090269392,172.168974502992,0.448722909210527,0.424237219256906,0.458069800475459,0.5839376385942,0.380687472189748,0.541300867448491,0.496005795109366,0.582911637217299
5,2,127.924633655918,171.481244006864,175.599631310116,173.388645414014,179.53507777945,178.346354555116,166.566093167478,173.135116070785,172.423734426519,171.349286797682,174.336612450116,169.275619748637,175.561206752122,173.696556240364,0.452016848742209,0.427930011211909,0.459500524391403,0.585665309411713,0.379942103450674,0.531887852668504,0.497696009480332,0.574321278917738
