APL,FCR,FDS,FDP,ED,EI,ECU,ECR
0.00707409808548849,0.0273633171959784,0.0084642693405062,0.0206308958096384,0.07148321225933,0.000929537743244737,0.000701228799614307,0.223550290815661
0.00735108820595549,0.027091147680943,0.00771847510115248,0.0213120350049076,0.0720725102124458,0.000941283828468883,0.000673358623859887,0.224133797924798
0.00763402922296578,0.026800975642761,0.00713399195248171,0.0220102387765282,0.0725408972593871,0.000950778410456139,0.000646689638667739,0.224454203701522
0.00792030903349152,0.0264876692884174,0.00671669318649194,0.0227184759453845,0.0728688527889569,0.000957880061969927,0.000621405480937238,0.224455580661288
0.00820710961862819,0.0261465761673421,0.00647079223916771,0.0234293720128149,0.0730387830001734,0.000962480250974162,0.00059766937244333,0.224083593294266
0.00849144905396323,0.0257736977249918,0.00639884379376487,0.0241353277177276,0.0730354313306103,0.000964504977455932,0.000575622893571764,0.223286911983753
0.0087702274145843,0.0253658466436524,0.00650175824647918,0.0248286450808478,0.0728462347196359,0.0009639156213845,0.000555384974488405,0.222018597654938
0.00904027548044099,0.0249207821958491,0.00677882814076412,0.0255016589645519,0.0724616172868658,0.000960709038226904,0.000537051062339187,0.220237419091741
0.00929840531725426,0.02443731916003,0.00722776518041569,0.0261468725216587,0.0718752178650729,0.000954916934047848,0.000520692428494999,0.217909074984809
0.00954146200582587,0.0239154073319612,0.00784474643611906,0.0267570947842959,0.0710840508160844,0.000946604532333531,0.000506355607385534,0.215007302149921
0.00976637586112947,0.0233561806828912,0.00862446839182533,0.0273255779206109,0.0700885994918753,0.000935868550193468,0.00049406199287557,0.21151485502862
0.00997021430927406,0.0227619769012116,0.00956020764460953,0.0278461509194293,0.0688928400563497,0.000922834538348656,0.000483807642632398,0.20742433784594
0.0101502322714245,0.0221363287282318,0.0106438874293669,0.0283133463801315,0.067504193317766,0.00090765368613993,0.000475563345209279,0.202738865797585
0.0103039197342149,0.0214839281857298,0.0118661495858095,0.0287225177438507,0.0659334046790577,0.000890499225878826,0.000469274990474231,0.197472533260376
0.0104290453103364,0.0208105645154639,0.0132164318712487,0.0290699452836384,0.0641943561434548,0.00087156257356244,0.000464864266229928,0.191650675703202
0.0105236949373135,0.0201230371947845,0.0146830504570323,0.0293529299070073,0.0623038179981872,0.00085104931752884,0.000462229693466788,0.185309923649084
0.0105863052650851,0.0194290465260914,0.0162532872615415,0.029569873798001,0.0602811500359221,0.000829175141004755,0.000461248008899269,0.178498057043175
0.0106156915487224,0.0187370654064425,0.017913481911211,0.0297203461424399,0.0581479621472485,0.000806161760002201,0.000461775902675373,0.171273672851297
